Blocks,Age,Faults,Time,Output
1,0,0,50,1
1,0,3,50,0
1,0,0,50,0
1,0,0,50,0
1,0,0,50,0
1,0,0,50,0
1,0,0,50,0
1,0,20,50,0
2,0,0,73,0
1,1,3,50,0
1,1,0,50,1
1,1,0,50,0
1,1,0,50,0
1,1,0,50,0
1,1,0,50,0
1,1,20,50,0
2,1,0,73,0
1,2,3,50,0
2,0,0,90,0
1,2,0,50,1
1,2,0,50,0
1,2,0,50,0
1,2,0,50,0
1,2,20,50,0
2,2,0,73,0
1,3,3,50,0
2,1,0,90,0
2,0,0,61,0
1,3,0,50,1
1,3,0,50,0
1,3,0,50,0
1,3,20,50,0
2,3,0,73,0
1,4,3,50,0
2,2,0,90,0
2,1,0,61,0
2,0,0,69,0
1,4,0,50,1
1,4,0,50,0
1,4,20,50,0
2,4,0,73,0
1,5,3,50,0
2,3,0,90,0
2,2,0,61,0
2,1,0,69,0
2,0,0,72,0
1,5,0,50,1
1,5,20,50,0
2,5,0,73,1
1,6,3,50,0
2,4,0,90,0
2,3,0,61,0
2,2,0,69,0
2,1,0,72,0
2,0,0,131,0
1,6,20,50,0
3,0,0,150,0
1,7,3,50,0
2,5,0,90,0
2,4,0,61,1
2,3,0,69,0
2,2,0,72,0
2,1,0,131,0
1,7,20,50,0
3,1,0,150,0
1,8,3,50,0
2,6,0,90,1
3,0,0,71,0
2,4,0,69,0
2,3,0,72,0
2,2,0,131,0
1,8,20,50,0
3,2,0,150,0
1,9,3,50,0
3,0,0,159,0
3,1,0,71,0
2,5,0,69,1
2,4,0,72,0
2,3,0,131,0
1,9,20,50,0
3,3,0,150,0
1,10,3,50,0
3,1,0,159,0
3,2,0,71,0
3,0,0,100,0
2,5,0,72,1
2,4,0,131,0
1,10,20,50,0
3,4,0,150,0
1,11,3,50,1
3,2,0,159,0
3,3,0,71,0
3,1,0,100,0
3,0,0,114,0
2,5,0,131,0
1,11,20,50,0
3,5,0,150,0
2,0,3,89,0
3,3,0,159,0
3,4,0,71,1
3,2,0,100,0
3,1,0,114,0
2,6,0,131,0
1,12,20,50,0
3,6,0,150,0
2,1,3,89,0
3,4,0,159,0
4,0,0,85,0
3,3,0,100,0
3,2,0,114,0
2,7,0,131,1
1,13,20,50,0
3,7,0,150,1
2,2,3,89,0
3,5,0,159,0
4,1,0,85,0
3,4,0,100,0
3,3,0,114,0
3,0,0,181,0
1,14,20,50,0
4,0,0,211,0
2,3,3,89,0
3,6,0,159,0
4,2,0,85,0
3,5,0,100,1
3,4,0,114,0
3,1,0,181,0
1,15,20,50,0
4,1,0,211,0
2,4,3,89,0
3,7,0,159,1
4,3,0,85,0
4,0,0,136,0
3,5,0,114,0
3,2,0,181,0
1,16,20,50,0
4,2,0,211,0
2,5,3,89,0
4,0,0,187,0
4,4,0,85,0
4,1,0,136,0
3,6,0,114,1
3,3,0,181,0
1,17,20,50,0
4,3,0,211,0
2,6,3,89,0
4,1,0,187,0
4,5,0,85,1
4,2,0,136,0
4,0,0,150,0
3,4,0,181,0
1,18,20,50,0
4,4,0,211,0
2,7,3,89,0
4,2,0,187,0
5,0,0,139,0
4,3,0,136,0
4,1,0,150,0
3,5,0,181,1
1,19,20,50,0
4,5,0,211,0
2,8,3,89,0
4,3,0,187,0
5,1,0,139,0
4,4,0,136,1
4,2,0,150,0
4,0,0,220,0
1,20,20,50,0
4,6,0,211,1
